timestamp_ms,speed,latitude,longitude,total_time_ms,Distance,Lap
1760239651187 ,21.32099944,36.53017807,140.2321777,76650,587.3443615,1
1760239651701 ,22.24799941,36.5302124,140.2322083,77150,592.0398225,1
1760239652186 ,22.24799941,36.5302124,140.2322083,77600,592.0398225,1
1760239652687 ,21.32099944,36.53024673,140.2322235,78050,596.0915477,1
1760239653170 ,21.32099944,36.53024673,140.2322235,78550,596.0915477,1
1760239653692 ,20.39399946,36.53028107,140.232254,79000,600.7827151,1
1760239654191 ,20.39399946,36.53028107,140.232254,79450,600.7827151,1
1760239654711 ,21.32099944,36.5303154,140.2322845,79950,605.4729768,1
1760239655168 ,21.32099944,36.5303154,140.2322845,80400,605.4729768,1
1760239655693 ,18.53999951,36.53034592,140.2323151,80850,609.8309997,1
1760239656191 ,18.53999951,36.53034592,140.2323151,81350,609.8309997,1
1760239656693 ,19.46699948,36.53038025,140.2323456,81800,614.5212601,1
1760239657189 ,19.46699948,36.53038025,140.2323456,82250,614.5212601,1
1760239657689 ,20.39399946,36.53041077,140.2323608,82750,618.1765993,1
1760239658210 ,20.39399946,36.53041077,140.2323608,83200,618.1765993,1
1760239658699 ,16.68599956,36.53044891,140.2323761,83650,622.6324657,1
1760239659192 ,16.68599956,36.53044891,140.2323761,84150,622.6324657,1
1760239659676 ,18.53999951,36.53047943,140.2323914,84600,626.2911336,1
1760239660189 ,18.53999951,36.53047943,140.2323914,85050,626.2911336,1
1760239660711 ,15.75899958,36.53051376,140.2324066,85550,630.3428572,1
1760239661195 ,15.75899958,36.53051376,140.2324066,86000,630.3428572,1
1760239661692 ,13.90499963,36.53054047,140.2324219,86450,633.6123906,1
1760239662212 ,13.90499963,36.53054047,140.2324219,86900,633.6123906,1
1760239662712 ,14.83199961,36.53057098,140.2324219,87400,637.0049525,1
1760239663212 ,14.83199961,36.53057098,140.2324219,87850,637.0049525,1
1760239663712 ,13.90499963,36.5306015,140.2324371,88350,640.6602905,1
1760239664195 ,13.90499963,36.5306015,140.2324371,88800,640.6602905,1
1760239664691 ,13.90499963,36.53063202,140.2324524,89250,644.3189574,1
1760239665188 ,13.90499963,36.53063202,140.2324524,89750,644.3189574,1
1760239665690 ,15.75899958,36.53065872,140.2324524,90200,647.287866,1
1760239666171 ,15.75899958,36.53065872,140.2324524,90650,647.287866,1
1760239666692 ,16.68599956,36.53069305,140.2324677,91100,651.3425923,1
